"序號","公司代號","公司名稱","董事會決議日期","買回目的","買回股份總金額上限(依最新財報計算之法定上限)","預定買回股數","買回價格區間-最低","買回價格區間-最高","預定買回期間-起","預定買回期間-迄","是否執行完畢","買回達一定標準資料","本次已買回股數(空白為尚在執行中)","本次執行完畢已註銷或轉讓股數","本次已買回股數佔預定買回股數比例(%)(空白為尚<br>在執行中)","本次已買回總金額(空白為尚在執行中)","本次平均每股買回價格(空白為尚在執行中)","本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中)","本次未執行完畢之原因"
"99","5203","訊連","2017/04/07","3",3265354465,8000000,50.00,90.00,"2017/04/10","2017/06/09","Y","查詢",5486000,5486000,68.58,383494219,69.90,5.94,"本公司為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，因而未依原預定數量完全執行完畢。"
"100","2841","台開","2017/04/20","1",1015451032,10000000,11.00,13.00,"2017/04/21","2017/06/19","Y","查詢",7019000,7019000,70.19,78580943,11.20,0.92,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"101","2365","昆盈","2017/05/10","3",1008575785,5500000,8.00,13.50,"2017/05/11","2017/07/09","Y","查詢",5500000,5500000,100.00,49563963,9.01,1.99,""
"102","2504","國產","2017/05/10","3",597297000,50000000,7.50,10.50,"2017/05/11","2017/07/10","Y","查詢",43000000,43000000,86.00,409672472,9.53,3.01,"為兼顧市場機制並維護股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。"
"103","3518","柏騰","2017/05/11","1",1491793609,3000000,13.37,31.74,"2017/05/12","2017/07/11","Y","查詢",1610000,"",53.67,34650781,21.52,1.99,"為尊重市場機制及未來員工認股意願，顧及買回股份期間股價呈穩定趨勢，故未全數執行完畢。"
"104","3545","敦泰","2017/05/12","1",7850198982,8000000,21.98,56.79,"2017/05/15","2017/07/14","Y","查詢",6808000,6808000,85.10,245812665,36.11,2.29,"因執行期間股價維持穩定，並考量資金運用效益，故未執行完畢。"
"105","3583","辛耘","2017/05/12","1",1124845155,811000,50.00,66.00,"2017/05/15","2017/07/11","Y","查詢",811000,811000,100.00,45650289,56.29,1.00,""
"106","4737","華廣","2017/05/24","3",1740117670,1450000,55.00,78.00,"2017/05/25","2017/07/23","Y","查詢",1450000,1450000,100.00,101586921,70.06,2.29,""
"107","2206","三陽工業","2017/05/26","1",3221689573,30000000,16.00,32.00,"2017/05/27","2017/07/26","Y","查詢",18000000,"",60.00,389614121,21.65,2.05,"為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"108","3708","上緯投控","2017/05/31","1",1980931877,1500000,52.00,98.00,"2017/06/01","2017/07/31","Y","查詢",957000,"",63.80,69152088,72.26,1.05,"為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，故未依原預定數量全部執行完畢。"
